measurement_time	3D_X	3D_Z	2D_Y2	2D_Y1	2D_X1	2D_X2
6930271243120385024	0.280676	4.97732	0.0222137	-5.03234	-0.632863	-2.3457
6930271249583711232	0.278229	4.97723	0.0222169	-5.03123	-0.635712	-2.34544
6930271256047037440	0.278149	4.97641	0.0228504	-5.03119	-0.63485	-2.34457
6930271262510363648	0.278049	4.97713	0.0215288	-5.03201	-0.636062	-2.34429
6930271268973689856	0.277381	4.97771	0.0212812	-5.03217	-0.637159	-2.34418
6930271275437015040	0.277969	4.97733	0.0219565	-5.03192	-0.635236	-2.34458
6930271281908935680	0.279024	4.97836	0.0223873	-5.03189	-0.635609	-2.34443
6930271288372262912	0.281329	4.97909	0.0232427	-5.03125	-0.634152	-2.34421
6930271294835589120	0.281162	4.97709	0.0239629	-5.03093	-0.63458	-2.34542
6930271301298915328	0.277078	4.97744	0.0228086	-5.0303	-0.639034	-2.34431
6930271307762240512	0.278323	4.97824	0.0228086	-5.03063	-0.637124	-2.34526
6930271314229864448	0.277403	4.97779	0.0226864	-5.03137	-0.634818	-2.34438
6930271320693190656	0.280837	4.97757	0.022323	-5.03116	-0.63322	-2.34519
6930271327165112320	0.28077	4.97719	0.0227443	-5.03187	-0.634191	-2.34502
6930271333628437504	0.279287	4.97777	0.0153164	-5.03206	-0.638329	-2.345
6930271340091763712	0.280985	4.97789	0.015445	-5.03154	-0.63558	-2.34483
6930271346555089920	0.280757	4.97791	0.015236	-5.03116	-0.635262	-2.34472
6930271353027010560	0.280612	4.97796	0.0147666	-5.03084	-0.635162	-2.34521
6930271359490336768	0.278265	4.9771	0.0148277	-5.03154	-0.636365	-2.34447
6930271365953661952	0.27839	4.97759	0.0145029	-5.03185	-0.637866	-2.34366
6930271372416988160	0.27767	4.97792	0.014474	-5.03188	-0.636156	-2.34464
6930271378880314368	0.278779	4.97824	0.0148598	-5.03142	-0.638911	-2.34562
6930271385343640576	0.278188	4.97807	0.015056	-5.03052	-0.635593	-2.34526
6930271391806966784	0.277329	4.97849	0.0140141	-5.03152	-0.634493	-2.34548
6930271398270294016	0.278265	4.97738	0.0155029	-5.03028	-0.634162	-2.34486
6930271404733619200	0.281037	4.97769	0.014638	-5.03122	-0.632857	-2.34444
6930271411196945408	0.280557	4.97779	0.0143453	-5.03146	-0.636857	-2.34378
6930271417660271616	0.280159	4.97723	0.0232652	-5.03158	-0.63548	-2.34374
6930271424123597824	0.280853	4.97793	0.0222555	-5.03067	-0.633406	-2.34498
6930271430586924032	0.280847	4.97749	0.0224324	-5.03115	-0.63641	-2.34555
6930271437050249216	0.280416	4.97802	0.0225545	-5.03132	-0.632982	-2.34578
6930271443513575424	0.28176	4.97801	0.0234935	-5.03149	-0.633239	-2.34446
6930271449976901632	0.281175	4.97685	0.023635	-5.03211	-0.632599	-2.34501
6930271456448822272	0.280937	4.9773	0.0232941	-5.03163	-0.634381	-2.3446
6930271462912148480	0.277233	4.97731	0.0147119	-5.03153	-0.63786	-2.34484
6930271469375473664	0.280879	4.97698	0.0144804	-5.03159	-0.635902	-2.34461
6930271475838800896	0.281882	4.97739	0.0225963	-5.03149	-0.632284	-2.34471
6930271482302127104	0.281287	4.97725	0.023262	-5.03203	-0.633284	-2.34497
6930271488765453312	0.281358	4.97744	0.0235899	-5.0321	-0.634677	-2.34479
6930271495228779520	0.281287	4.97894	0.023278	-5.0311	-0.634275	-2.34532
6930271501700698112	0.280406	4.97824	0.0235771	-5.03187	-0.63504	-2.3454
6930271508172621824	0.278625	4.97802	0.0151717	-5.0318	-0.635188	-2.34376
6930271514644541440	0.278255	4.97696	0.0231784	-5.03101	-0.634107	-2.34537
6930271521116463104	0.28048	4.9772	0.0143582	-5.03117	-0.633815	-2.34421
6930271527579790336	0.278969	4.9771	0.0152039	-5.03109	-0.63422	-2.34495
6930271534051710976	0.278725	4.97747	0.0145672	-5.03231	-0.635461	-2.34442
6930271540515035136	0.280905	4.97822	0.0226671	-5.03085	-0.635156	-2.34526
6930271546978361344	0.280882	4.97687	0.0223198	-5.03122	-0.633943	-2.34536
6930271553441687552	0.279808	4.97796	0.0223327	-5.03088	-0.633795	-2.34399
6930271559905013760	0.281721	4.97668	0.0233456	-5.03163	-0.634259	-2.34412
6930271566376935424	0.280246	4.97712	0.023024	-5.03084	-0.63486	-2.34451
6930271572848856064	0.277725	4.97778	0.0137247	-5.03048	-0.639815	-2.3446
6930271579312182272	0.278557	4.97739	0.0225513	-5.03126	-0.636619	-2.3449
6930271585784102912	0.279313	4.97736	0.02295	-5.03187	-0.634069	-2.34459
6930271592247429120	0.280622	4.97807	0.0220658	-5.03024	-0.634677	-2.34588
6930271598710755328	0.280699	4.97864	0.0229211	-5.03059	-0.632085	-2.34485
6930271605182675968	0.280532	4.97756	0.0201847	-5.03149	-0.633654	-2.34477
6930271611646001152	0.278847	4.97664	0.0149884	-5.03108	-0.633422	-2.34431
6930271618109328384	0.278008	4.97696	0.0193712	-5.03098	-0.63666	-2.34429
6930271624581249024	0.277593	4.9776	0.0219532	-5.03067	-0.636095	-2.34352
6930271631044575232	0.28093	4.97793	0.0227153	-5.03202	-0.630869	-2.34484
6930271637516496896	0.281541	4.97736	0.0234099	-5.03092	-0.633921	-2.34482
6930271643979823104	0.277355	4.97834	0.0152039	-5.03206	-0.636722	-2.34504
6930271650443148288	0.281207	4.97807	0.0147183	-5.03113	-0.634712	-2.34489
6930271656906474496	0.277766	4.97779	0.0146637	-5.03065	-0.640136	-2.34499
6930271663374097408	0.278782	4.97724	0.0149724	-5.03186	-0.636609	-2.34464
6930271669837423616	0.281564	4.97846	0.0144965	-5.0308	-0.635805	-2.34525
6930271676300749824	0.278455	4.97746	0.0145415	-5.03174	-0.635435	-2.34512
6930271682764076032	0.279776	4.97821	0.0129434	-5.03128	-0.638101	-2.34492
6930271689227402240	0.280834	4.97842	0.023352	-5.03137	-0.630529	-2.34424
6930271695690728448	0.280139	4.9787	0.0230111	-5.03139	-0.632477	-2.34518
6930271702154054656	0.278747	4.97753	0.0235803	-5.03153	-0.634049	-2.34467
6930271708625975296	0.280966	4.97742	0.0230915	-5.0309	-0.633352	-2.34567
6930271715089301504	0.278709	4.97631	0.0153422	-5.03168	-0.636609	-2.34456
6930271721552628736	0.280873	4.97666	0.0224967	-5.03251	-0.635625	-2.3449
6930271728024548352	0.280818	4.97775	0.0219983	-5.03185	-0.63504	-2.34447
6930271734487876608	0.277516	4.97729	0.014564	-5.03178	-0.639866	-2.34504
6930271740959794176	0.277586	4.97707	0.0143711	-5.03231	-0.636535	-2.344
6930271747431720960	0.277516	4.97655	0.0219372	-5.03145	-0.636767	-2.34632
6930271753903641600	0.279818	4.97784	0.0136379	-5.03157	-0.635786	-2.34605
6930271760375561216	0.277081	4.97649	0.0149048	-5.03244	-0.637197	-2.345
6930271766838884352	0.277795	4.9762	0.0227153	-5.03155	-0.636149	-2.34486
6930271773310806016	0.276583	4.97721	0.0217539	-5.03134	-0.636426	-2.34571
6930271779774131200	0.280384	4.97742	0.0230369	-5.03172	-0.634458	-2.34567
6930271786237457408	0.281223	4.97684	0.0230111	-5.03206	-0.633037	-2.34533
6930271792700783616	0.281136	4.97704	0.0229693	-5.0315	-0.633455	-2.34527
6930271799168406528	0.277737	4.97868	0.0213391	-5.03175	-0.637146	-2.34477
6930271805631732736	0.280943	4.97694	0.0230787	-5.03133	-0.633931	-2.34511
6930271812095060992	0.280728	4.97682	0.0222973	-5.03233	-0.63322	-2.34469
6930271818558385152	0.280847	4.977	0.023024	-5.0309	-0.633188	-2.34557
6930271825021710336	0.277085	4.97796	0.0229147	-5.03124	-0.635069	-2.34396
6930271831485037568	0.277451	4.97788	0.0223423	-5.03106	-0.638497	-2.34527
6930271837948364800	0.27757	4.97788	0.0223648	-5.0319	-0.63241	-2.34487
6930271844411689984	0.27877	4.97742	0.0220176	-5.03256	-0.633786	-2.34424
6930271850875016192	0.277969	4.97753	0.0144611	-5.03249	-0.635834	-2.34529
6930271857346936832	0.276963	4.97704	0.0149724	-5.03178	-0.635541	-2.34463
6930271863810264064	0.281255	4.97775	0.0222362	-5.03123	-0.634783	-2.3452
6930271870273588224	0.2804	4.97768	0.0224967	-5.0323	-0.633149	-2.34477
6930271876745509888	0.280541	4.97719	0.0207571	-5.03169	-0.63332	-2.34456
6930271883217430528	0.280776	4.97678	0.0220176	-5.03139	-0.635101	-2.346
6930271889689352192	0.278496	4.97696	0.0137247	-5.03168	-0.640046	-2.34519
6930271896152678400	0.276959	4.97725	0.0231719	-5.03216	-0.635728	-2.34543
6930271902624603136	0.2803	4.97684	0.0217217	-5.03306	-0.63485	-2.3454
6930271909096519680	0.27994	4.97678	0.0230433	-5.03184	-0.633763	-2.3456
6930271915568439296	0.277519	4.9759	0.0152714	-5.03278	-0.639403	-2.34429
6930271922040361984	0.278149	4.97616	0.0223584	-5.03298	-0.63475	-2.34565
6930271928512282624	0.279438	4.97622	0.0138887	-5.03203	-0.635979	-2.34506
6930271934984205312	0.277715	4.97652	0.0219404	-5.03235	-0.6374	-2.34484
6930271941456123904	0.281323	4.97676	0.0220658	-5.03166	-0.632615	-2.34527
6930271947919451136	0.280191	4.97853	0.0220047	-5.03098	-0.633014	-2.34509
6930271954387074048	0.280438	4.97762	0.0226446	-5.03239	-0.635606	-2.34524
6930271960858994688	0.276281	4.9769	0.0146251	-5.03267	-0.638085	-2.3463
6930271967330916352	0.276046	4.97683	0.0227925	-5.03216	-0.63612	-2.34519
6930271973794242560	0.279683	4.97741	0.021442	-5.03297	-0.631004	-2.34506
6930271980266165248	0.279574	4.97788	0.0222491	-5.03172	-0.634731	-2.34469
6930271986738083840	0.277766	4.97669	0.0147923	-5.03224	-0.636892	-2.3437
6930271993210004480	0.277725	4.97694	0.0223455	-5.03234	-0.634869	-2.34524
6930271999681928192	0.280011	4.97655	0.0132585	-5.03256	-0.633693	-2.3461
6930272006145253376	0.277461	4.97686	0.0150849	-5.03269	-0.639233	-2.34524
6930272012617172992	0.276934	4.97612	0.0142746	-5.03256	-0.639117	-2.34523
6930272019080498176	0.277689	4.97662	0.020905	-5.03113	-0.633686	-2.3467
6930272025543824384	0.277557	4.97664	0.0213744	-5.03217	-0.637609	-2.34467
6930272032015747072	0.277953	4.97556	0.0220819	-5.03148	-0.635722	-2.34537
6930272038479072256	0.281731	4.9768	0.0221397	-5.03155	-0.635606	-2.34501
6930272044950993920	0.279766	4.97664	0.0217732	-5.03194	-0.63359	-2.34489
6930272051422913536	0.28075	4.97722	0.0216027	-5.03197	-0.634162	-2.34542
6930272057894834176	0.277239	4.97813	0.0147955	-5.03241	-0.638136	-2.34518
6930272064358160384	0.282268	4.97622	0.00412967	-5.03179	-0.63786	-2.34555
6930272070821486592	0.279792	4.97606	0.0130045	-5.03165	-0.635934	-2.34503
6930272077284814848	0.280696	4.97678	0.0218053	-5.03172	-0.633474	-2.34526
6930272083756733440	0.280709	4.97648	0.0231108	-5.0317	-0.632882	-2.34469
6930272090220059648	0.278799	4.97655	0.0144482	-5.03204	-0.638288	-2.34577
6930272096691982336	0.279294	4.97705	0.0136733	-5.03228	-0.640526	-2.34502
6930272103155307520	0.277059	4.97785	0.0136026	-5.03249	-0.637226	-2.34542
6930272109618632704	0.27729	4.97571	0.0148566	-5.03216	-0.636242	-2.34554
6930272116090555392	0.28257	4.97656	0.00540944	-5.03329	-0.636529	-2.34551
6930272122553879552	0.279464	4.97716	0.0128437	-5.03157	-0.638339	-2.34559
6930272129025803264	0.280127	4.97718	0.021413	-5.03135	-0.633358	-2.34616
6930272135497721856	0.27777	4.97682	0.0148052	-5.03191	-0.636439	-2.34328
6930272141961048064	0.276969	4.97783	0.0224645	-5.0316	-0.634111	-2.34496
6930272148424374272	0.278763	4.97783	0.0171461	-5.03126	-0.637477	-2.34506
6930272154887700480	0.277795	4.9784	0.0151235	-5.03075	-0.635863	-2.34485
6930272161351025664	0.278619	4.97784	0.0150849	-5.0309	-0.636718	-2.34523
6930272167822947328	0.278284	4.97676	0.0160849	-5.03185	-0.635152	-2.34493
6930272174286273536	0.279892	4.978	0.0182007	-5.03105	-0.633355	-2.34464
6930272180749599744	0.281377	4.97809	0.023352	-5.03095	-0.629943	-2.34287
6930272187212925952	0.281104	4.97773	0.0226092	-5.03095	-0.631696	-2.34546
6930272193676251136	0.281747	4.9775	0.0234002	-5.03187	-0.632207	-2.34518
6930272200139576320	0.278364	4.97724	0.0234517	-5.03029	-0.635503	-2.34484
6930272206602903552	0.278599	4.97826	0.023516	-5.03162	-0.636587	-2.34442
6930272213066229760	0.278586	4.97687	0.0233488	-5.03096	-0.634342	-2.34458
6930272219529556992	0.277747	4.97774	0.0136026	-5.02976	-0.638612	-2.34478
6930272225992882176	0.277181	4.97866	0.0144097	-5.03081	-0.636175	-2.34456
6930272232456207360	0.27793	4.97742	0.0144289	-5.03195	-0.636577	-2.34436
6930272238928129024	0.27886	4.97714	0.015056	-5.03163	-0.636098	-2.34423
6930272245400050688	0.278291	4.97796	0.0226896	-5.03165	-0.635358	-2.34469
6930272251863375872	0.280516	4.97903	0.0223069	-5.0313	-0.634847	-2.34523
6930272258326701056	0.279548	4.97785	0.0229661	-5.0316	-0.63503	-2.34482
6930272264798625792	0.278725	4.97755	0.0239629	-5.03043	-0.632831	-2.34427
6930272271261948928	0.280519	4.97722	0.0232716	-5.03175	-0.635567	-2.34355
6930272277725275136	0.279824	4.97819	0.023114	-5.03115	-0.63559	-2.34434
6930272284197195776	0.280885	4.97807	0.0217507	-5.03078	-0.634567	-2.34403
6930272290669116416	0.279252	4.97724	0.0149949	-5.03154	-0.63503	-2.34449
6930272297141037056	0.278657	4.97819	0.022516	-5.03111	-0.631905	-2.34466
