measurement_time	3D_X	3D_Z	2D_Y2	2D_Y1	2D_X1	2D_X2
6930645969873454080	-0.363593	4.95849	-0.0932907	-5.05063	0.730761	2.26332
6930816810035454976	-0.39952	-2.00253	-0.12924	-0.084493	-2.75526	-7.14073
6930816816496632832	-0.408877	-2.01032	-0.123423	-0.0925865	-2.76245	-7.14927
6930816822957811712	-0.403317	-2.00963	-0.130777	-0.0910076	-2.76151	-7.1483
6930816829421137920	-0.394584	-1.99469	-0.124179	-0.079255	-2.75318	-7.13561
6930816835888760832	-0.383529	-1.97921	-0.102294	-0.0637498	-2.73464	-7.1196
6930816842354236416	-0.407179	-2.00902	-0.126664	-0.0918501	-2.75968	-7.14905
6930816848819709952	-0.402755	-2.00919	-0.135099	-0.0917118	-2.75849	-7.14871
6930816855283043328	-0.40198	-2.00844	-0.135703	-0.091371	-2.76274	-7.14817
6930816861746368512	-0.384568	-1.98585	-0.11133	-0.0688142	-2.74493	-7.12406
6930816868209694720	-0.378008	-1.97589	-0.0977281	-0.0587786	-2.73149	-7.11562
6930816874673020928	-0.409552	-2.00983	-0.123047	-0.0917151	-2.75959	-7.14827
6930816881136347136	-0.407279	-2.0091	-0.124446	-0.0919787	-2.75814	-7.14795
6930816887608268800	-0.395783	-1.99982	-0.125526	-0.0835187	-2.7559	-7.13823
6930816894071595008	-0.379789	-1.97885	-0.102246	-0.0645247	-2.7359	-7.11934
6930816900543514624	-0.397105	-2.00122	-0.124658	-0.0830782	-2.7513	-7.13995
6930816907006840832	-0.41007	-2.00862	-0.123565	-0.0909787	-2.76502	-7.14927
6930816913470167040	-0.404513	-2.00951	-0.133948	-0.0909691	-2.76296	-7.14898
6930816919942088704	-0.389381	-1.98847	-0.114359	-0.0729397	-2.74669	-7.12839
6930816926405413888	-0.375503	-1.97394	-0.0953068	-0.0570068	-2.7268	-7.11278
6930816932868740096	-0.38441	-1.98261	-0.104513	-0.065753	-2.73877	-7.1206
6930816939340661760	-0.408938	-2.01006	-0.123449	-0.0926154	-2.7617	-7.14865
6930816945803987968	-0.401372	-2.00899	-0.140363	-0.0907343	-2.76071	-7.14898
6930816952267314176	-0.390854	-1.99175	-0.11933	-0.0756118	-2.75007	-7.1303
6930816958730640384	-0.37532	-1.97074	-0.0920881	-0.055473	-2.72975	-7.112
6930816965193966592	-0.390796	-1.99385	-0.113182	-0.0758787	-2.74366	-7.13259
6930816971665886208	-0.408121	-2.00893	-0.121815	-0.0911716	-2.76427	-7.14804
6930816978129212416	-0.404115	-2.00939	-0.132443	-0.0911363	-2.76501	-7.14796
6930816984592543744	-0.380715	-1.98064	-0.098458	-0.0659363	-2.73519	-7.1211
6930816991055864832	-0.38031	-1.9802	-0.10214	-0.0630005	-2.73337	-7.11978
6930816997519191040	-0.409272	-2.00937	-0.122745	-0.092027	-2.76049	-7.14898
6930817003982518272	-0.401706	-2.00952	-0.135735	-0.0912327	-2.76008	-7.14941
6930817010445843456	-0.386169	-1.98669	-0.111574	-0.0720715	-2.74276	-7.12836
6930817016909169664	-0.38942	-1.98817	-0.108455	-0.0703962	-2.74266	-7.12688
6930817023372495872	-0.409272	-2.00988	-0.120912	-0.0911105	-2.76332	-7.14914
6930817029835822080	-0.407716	-2.01002	-0.123098	-0.0921556	-2.75858	-7.14907
6930817036299148288	-0.403539	-2.00968	-0.134732	-0.0913035	-2.76023	-7.14726
6930817042762473472	-0.401472	-2.00729	-0.137218	-0.0895189	-2.76006	-7.14681
6930817049225799680	-0.378732	-1.9763	-0.0978245	-0.0593509	-2.73618	-7.11614
6930817055697720320	-0.395214	-2.00005	-0.122783	-0.0824222	-2.75223	-7.13901
6930817062161046528	-0.407661	-2.00904	-0.119021	-0.0924289	-2.76252	-7.14829
6930817068624372736	-0.40952	-2.01046	-0.120581	-0.0923389	-2.76058	-7.14933
6930817075087697920	-0.405022	-2.00957	-0.139694	-0.0909884	-2.76344	-7.14912
6930817081551024128	-0.379365	-1.97867	-0.0970078	-0.0620616	-2.73434	-7.1201
6930817088014351360	-0.387905	-1.98927	-0.112677	-0.0720972	-2.7421	-7.12832
6930817094477677568	-0.40733	-2.00973	-0.122877	-0.0919498	-2.75983	-7.14963
6930817100941004800	-0.406935	-2.00972	-0.123047	-0.0916411	-2.76021	-7.14951
6930817107404329984	-0.401118	-2.007	-0.136227	-0.0894803	-2.76244	-7.14637
6930817113867656192	-0.380384	-1.97599	-0.101741	-0.0595021	-2.73327	-7.11519
6930817120330981376	-0.387333	-1.98673	-0.108574	-0.0684959	-2.74093	-7.12522
6930817126794308608	-0.398427	-2.00316	-0.128935	-0.0840107	-2.75475	-7.14179
6930817133257633792	-0.409748	-2.01008	-0.123478	-0.0924225	-2.76237	-7.14861
6930817139720960000	-0.397214	-2.00287	-0.129102	-0.0874867	-2.75593	-7.14372
6930817146184286208	-0.375407	-1.97192	-0.0967441	-0.0564055	-2.72989	-7.11105
6930817152656209920	-0.383327	-1.98274	-0.104741	-0.0654508	-2.7388	-7.12212
6930817159119533056	-0.392089	-1.9851	-0.0915446	-0.0676566	-2.74016	-7.12538
6930817165582859264	-0.40843	-2.00991	-0.11851	-0.0919723	-2.76144	-7.14909
6930817172054779904	-0.403247	-2.01002	-0.134755	-0.092117	-2.76118	-7.14983
6930817178518106112	-0.386449	-1.98755	-0.111275	-0.0720683	-2.74326	-7.12803
6930817184981431296	-0.384111	-1.98095	-0.107098	-0.063917	-2.73749	-7.11935
6930817191453353984	-0.386626	-1.98417	-0.105346	-0.0656759	-2.73922	-7.12191
6930817197916679168	-0.407491	-2.0102	-0.121523	-0.0918662	-2.76059	-7.14907
6930817204388599808	-0.406157	-2.00903	-0.130684	-0.0924836	-2.76029	-7.1495
6930817210851926016	-0.392825	-1.99541	-0.122028	-0.081181	-2.75417	-7.13775
6930817217315252224	-0.387381	-1.98686	-0.114365	-0.0701133	-2.74513	-7.12606
6930817223778578432	-0.373185	-1.96749	-0.0872391	-0.0504279	-2.72247	-7.10638
6930817230241903616	-0.3886	-1.99192	-0.115706	-0.0740169	-2.74521	-7.12989
6930817236705229824	-0.408105	-2.01023	-0.123311	-0.0927086	-2.76212	-7.14841
6930817243168557056	-0.40487	-2.00913	-0.139951	-0.091445	-2.76415	-7.14859
6930817249631883264	-0.389346	-1.99117	-0.114703	-0.0739815	-2.74578	-7.1313
6930817256095209472	-0.382227	-1.98004	-0.106587	-0.0620616	-2.73614	-7.11868
6930817262558535680	-0.3936	-1.99444	-0.118954	-0.0764607	-2.74777	-7.13314
6930817269021860864	-0.408481	-2.01058	-0.118738	-0.0920591	-2.76087	-7.14918
6930817275485187072	-0.401144	-2.00454	-0.132845	-0.0868082	-2.76131	-7.14364
6930817281948513280	-0.391259	-1.99325	-0.117854	-0.0777244	-2.74838	-7.13381
6930817288411839488	-0.380333	-1.97886	-0.101204	-0.0629909	-2.73382	-7.11896
6930817294875164672	-0.39616	-1.99839	-0.126642	-0.080435	-2.75244	-7.13725
6930817301338490880	-0.407295	-2.00938	-0.123838	-0.091908	-2.7609	-7.14952
6930817307801817088	-0.402993	-2.00961	-0.139327	-0.0918919	-2.76161	-7.14803
6930817314265143296	-0.390751	-1.99056	-0.11915	-0.0741873	-2.74828	-7.13006
6930817320728469504	-0.381362	-1.98043	-0.102104	-0.0626468	-2.73523	-7.11958
6930817327191795712	-0.399163	-2.00256	-0.119687	-0.0838435	-2.75289	-7.14173
6930817333655121920	-0.410022	-2.00933	-0.123545	-0.0920559	-2.76023	-7.14927
6930817340118448128	-0.40353	-2.0105	-0.13516	-0.0912359	-2.76095	-7.1484
6930817346581773312	-0.391449	-1.99435	-0.114407	-0.0789977	-2.75077	-7.13558
6930817353045099520	-0.383111	-1.98277	-0.108606	-0.0646533	-2.7364	-7.11995
6930817359508425728	-0.391754	-1.98438	-0.0994033	-0.0667948	-2.74186	-7.12174
6930817365971751936	-0.408128	-2.00834	-0.119352	-0.0916636	-2.76009	-7.14917
6930817372435077120	-0.402758	-2.0084	-0.138443	-0.0906539	-2.76085	-7.1488
6930817378906998784	-0.39578	-1.99843	-0.126845	-0.0814865	-2.75842	-7.13769
6930817385370324992	-0.374645	-1.97227	-0.0927697	-0.0565181	-2.72977	-7.11189
6930817391833651200	-0.381404	-1.98095	-0.102622	-0.0638109	-2.73395	-7.11958
6930817398296977408	-0.408649	-2.00928	-0.122992	-0.0913228	-2.76319	-7.14835
6930817404760303616	-0.401327	-2.00941	-0.135115	-0.0921459	-2.76294	-7.14943
6930817411223629824	-0.391841	-1.99384	-0.121462	-0.0768915	-2.74914	-7.13329
6930817417686955008	-0.385838	-1.9847	-0.106789	-0.0680939	-2.74247	-7.12425
6930817424150281216	-0.389356	-1.99181	-0.1144	-0.0741359	-2.74653	-7.13096
6930817430613610496	-0.409218	-2.01054	-0.122918	-0.0919562	-2.7618	-7.14942
6930817437076933632	-0.404044	-2.00861	-0.138308	-0.0897407	-2.76297	-7.14742
6930817443540258816	-0.404761	-2.00939	-0.139983	-0.0917086	-2.76432	-7.14749
6930817450003586048	-0.387831	-1.98835	-0.112751	-0.0723448	-2.74598	-7.12862
6930817456466912256	-0.382253	-1.98054	-0.102108	-0.0630777	-2.73204	-7.1198
6930817462930238464	-0.403877	-2.00375	-0.120526	-0.0868757	-2.75539	-7.14535
6930817469393564672	-0.406793	-2.00908	-0.117635	-0.0909047	-2.76321	-7.14772
6930817475865485312	-0.403755	-2.00906	-0.133462	-0.0911684	-2.7627	-7.14781
6930817482328810496	-0.38487	-1.98519	-0.111371	-0.0683286	-2.74132	-7.12472
6930817488792136704	-0.385523	-1.98465	-0.111806	-0.0667948	-2.73769	-7.12182
6930817495264058368	-0.408835	-2.00899	-0.123295	-0.0899433	-2.75858	-7.14578
6930817501727384576	-0.408054	-2.01063	-0.119381	-0.0922392	-2.7601	-7.15026
6930817508199305216	-0.402639	-2.00968	-0.13652	-0.0922135	-2.76194	-7.15046
6930817514662631424	-0.381609	-1.9797	-0.102641	-0.0639813	-2.7383	-7.11972
6930817521125956608	-0.386581	-1.98847	-0.10933	-0.0698335	-2.7425	-7.12709
6930817527597878272	-0.408887	-2.01034	-0.123285	-0.0917922	-2.76299	-7.14925
6930817534061204480	-0.409755	-2.00973	-0.120507	-0.0913581	-2.76237	-7.14942
6930817540524530688	-0.3957	-1.99946	-0.128317	-0.0821875	-2.75592	-7.13829
6930817546996451328	-0.382217	-1.97982	-0.105661	-0.0614957	-2.73785	-7.11655
6930817553468371968	-0.395944	-2.00037	-0.125217	-0.0825637	-2.75213	-7.14007
6930817559940291584	-0.407893	-2.00976	-0.118565	-0.0917247	-2.75988	-7.1493
6930817566403618816	-0.403269	-2.00903	-0.13878	-0.0918501	-2.76187	-7.14874
6930817572866946048	-0.383172	-1.98052	-0.102079	-0.0639234	-2.73935	-7.11935
6930817579330272256	-0.393796	-1.99582	-0.120642	-0.0782356	-2.74884	-7.13513
6930817585793597440	-0.407713	-2.00974	-0.123388	-0.091699	-2.76343	-7.14877
6930817592256923648	-0.403449	-2.00852	-0.135552	-0.0902874	-2.76276	-7.14748
6930817598720248832	-0.391574	-1.99371	-0.11795	-0.0769559	-2.75151	-7.1335
6930817605183576064	-0.370294	-1.96717	-0.0886378	-0.0509681	-2.72322	-7.10644
6930817611646902272	-0.388304	-1.99142	-0.114352	-0.0734124	-2.74546	-7.13032
6930817618110228480	-0.408125	-2.00876	-0.119188	-0.0918372	-2.76215	-7.14903
6930817624573554688	-0.404523	-2.00876	-0.138838	-0.091326	-2.76407	-7.14827
6930817631036879872	-0.385439	-1.98526	-0.107416	-0.067483	-2.74227	-7.12537
6930817637500206080	-0.387182	-1.98506	-0.108879	-0.0663993	-2.73862	-7.12351
6930817643963532288	-0.396722	-2.0008	-0.12542	-0.082911	-2.75593	-7.1391
6930817650426858496	-0.409128	-2.00987	-0.122552	-0.092162	-2.76349	-7.14807
6930817656890184704	-0.403533	-2.00911	-0.136083	-0.0913517	-2.76403	-7.14877
6930817663353510912	-0.376625	-1.97439	-0.0921524	-0.0593542	-2.72927	-7.11586
6930817669816836096	-0.38696	-1.98618	-0.11049	-0.0689235	-2.74132	-7.12654
6930817676280162304	-0.409562	-2.00911	-0.122606	-0.0919112	-2.76164	-7.14883
6930817682743489536	-0.409642	-2.00973	-0.123095	-0.0914514	-2.76201	-7.14853
6930817689206814720	-0.403735	-2.009	-0.139028	-0.0910655	-2.76286	-7.1482
6930817695670141952	-0.387266	-1.98766	-0.11041	-0.0690746	-2.74411	-7.1249
6930817702133466112	-0.387372	-1.98916	-0.10877	-0.0713673	-2.73997	-7.1286
6930817708596793344	-0.40743	-2.00909	-0.123269	-0.0916861	-2.76141	-7.14864
6930817715060119552	-0.402671	-2.00893	-0.138649	-0.0909144	-2.76059	-7.14842
6930817721523445760	-0.387346	-1.98539	-0.111542	-0.0699814	-2.74328	-7.12641
6930817727986771968	-0.376844	-1.97197	-0.0948888	-0.0548396	-2.73187	-7.11
6930817734458691584	-0.395918	-1.99964	-0.127054	-0.0803225	-2.75329	-7.13767
6930817740922017792	-0.408263	-2.00987	-0.118983	-0.0911748	-2.75986	-7.149
6930817747385344000	-0.403369	-2.00763	-0.133475	-0.0892327	-2.7615	-7.14545
6930817753848670208	-0.383934	-1.98264	-0.108822	-0.0662257	-2.74254	-7.12086
6930817760311996416	-0.379754	-1.97867	-0.104796	-0.0615986	-2.73491	-7.11762
6930817766775322624	-0.380896	-1.9801	-0.0992458	-0.0637176	-2.73516	-7.11886
6930817773238649856	-0.403288	-2.00478	-0.120844	-0.0871233	-2.75729	-7.14448
6930817779701975040	-0.40753	-2.00981	-0.122951	-0.0919305	-2.76234	-7.14915
6930817786165301248	-0.391552	-1.99489	-0.11551	-0.0776665	-2.74941	-7.13467
6930817792628627456	-0.376429	-1.97298	-0.0932135	-0.0557592	-2.72904	-7.11096
6930817799100548096	-0.394147	-1.99814	-0.118529	-0.0810074	-2.74887	-7.13707
6930817805563874304	-0.409308	-2.01043	-0.124195	-0.0930141	-2.76252	-7.14983
6930817812035795968	-0.402603	-2.00933	-0.13505	-0.0919787	-2.75933	-7.14877
6930817818499121152	-0.388037	-1.98965	-0.113857	-0.0742291	-2.74852	-7.13106
6930817824962447360	-0.387831	-1.98595	-0.10776	-0.0682418	-2.74208	-7.12396
6930817831425773568	-0.40962	-2.01025	-0.122722	-0.0915543	-2.76226	-7.14933
6930817837889099776	-0.402394	-2.01011	-0.139774	-0.0915446	-2.76364	-7.14886
6930817844361020416	-0.387767	-1.98953	-0.117732	-0.0727082	-2.74855	-7.12845
6930817850832941056	-0.382063	-1.9808	-0.105043	-0.0623671	-2.73795	-7.11698
6930817857296267264	-0.404671	-2.00584	-0.122233	-0.0872744	-2.75844	-7.14474
6930817863768187904	-0.407883	-2.01034	-0.123533	-0.0927183	-2.76372	-7.15002
6930817870231514112	-0.393799	-1.99248	-0.121388	-0.0771938	-2.7491	-7.1339
6930817876694841344	-0.382915	-1.9797	-0.103288	-0.0625536	-2.73834	-7.11869
6930817883166760960	-0.397668	-2.00025	-0.125327	-0.0815026	-2.75269	-7.13775
6930817889630087168	-0.408854	-2.01001	-0.123523	-0.0917118	-2.7592	-7.1492
6930817896093413376	-0.404282	-2.00924	-0.139202	-0.0914707	-2.76348	-7.14834
6930817902565335040	-0.384841	-1.98251	-0.108773	-0.0657144	-2.74234	-7.11987
6930817909028661248	-0.375429	-1.97351	-0.0941267	-0.0553862	-2.72803	-7.11082
6930817915491987456	-0.399388	-2.00438	-0.129131	-0.0862776	-2.7546	-7.14411
6930817921955312640	-0.408485	-2.00869	-0.12342	-0.0921202	-2.76326	-7.14919
6930817928418638848	-0.403494	-2.00914	-0.134893	-0.090834	-2.76206	-7.14827
6930817934881965056	-0.38623	-1.98459	-0.108957	-0.0679621	-2.74489	-7.1252
6930817941345290240	-0.390532	-1.99166	-0.112452	-0.0729268	-2.74399	-7.12943
6930817947808617472	-0.409652	-2.00966	-0.122024	-0.0923003	-2.76055	-7.14845
6930817954271943680	-0.409115	-2.00954	-0.123037	-0.0920881	-2.76326	-7.14949
6930817960735269888	-0.401269	-2.00963	-0.140018	-0.0912777	-2.76037	-7.1486
6930817967198595072	-0.388979	-1.98883	-0.116645	-0.0724831	-2.74931	-7.12907
6930817973661921280	-0.382021	-1.97918	-0.106812	-0.0618044	-2.73617	-7.11737
6930817980125249536	-0.40642	-2.00932	-0.125983	-0.0915286	-2.76364	-7.1489
