measurement_time	3D_X	3D_Y	3D_Z	3D_Q2	3D_Q1	2D_Y2	2D_Y1	2D_X1	2D_X2
6933020176787712000	-0.313086	-0.357655	-0.0541592	0.48849	-0.604415	2.30568	2.95997	-2.95046	-0.0411729
6933020170354465792	-0.31382	-0.369013	-0.0470583	0.451777	-0.560632	2.30604	2.95996	-2.95047	-0.031581
6933020163921219584	-0.314344	-0.35718	-0.0460792	0.488487	-0.604571	2.30558	2.95986	-2.95053	-0.0467587
6933020157487974400	-0.312468	-0.357531	-0.0545763	0.488466	-0.60431	2.30507	2.95969	-2.95053	-0.0569916
6933020151054727168	-0.314007	-0.355492	-0.0451791	0.488247	-0.603839	2.30532	2.95993	-2.95058	-0.046646
6933020144621480960	-0.312221	-0.358806	-0.0549643	0.488332	-0.604268	2.30525	2.95966	-2.95028	-0.0565922
6933020138188235776	-0.312091	-0.356207	-0.0534057	0.487774	-0.604014	2.30547	2.95969	-2.9504	-0.0560914
6933020131754989568	-0.312342	-0.358534	-0.0546777	0.488102	-0.604302	2.30576	2.95997	-2.9503	-0.0619413
6933020125321743360	-0.314255	-0.357494	-0.0466879	0.488055	-0.604254	2.30563	2.9598	-2.95024	-0.0448055
6933020118888497152	-0.312951	-0.356505	-0.0502287	0.488249	-0.604194	2.30535	2.95997	-2.9503	-0.0679264
6933020112455250944	-0.312576	-0.357875	-0.0544491	0.4876	-0.604346	2.30574	2.95972	-2.95033	-0.0514219
6933020106022003712	-0.313611	-0.356574	-0.0450793	0.4884	-0.604773	2.30525	2.95978	-2.9503	-0.0456074
6933020099588759552	-0.314503	-0.357697	-0.0464641	0.488196	-0.604467	2.30538	2.95972	-2.95026	-0.0330881
6933020093155511296	-0.316013	-0.385814	-0.0471388	0.401879	-0.499034	2.30558	2.95968	-2.95075	-0.0390507
6933020086722267136	-0.311759	-0.356826	-0.0536665	0.487901	-0.603977	2.30573	2.95965	-2.95026	-0.0526665
6933020080289019904	-0.314263	-0.357495	-0.0465317	0.487893	-0.604536	2.30546	2.95995	-2.9501	-0.046675
6933020073855774720	-0.315875	-0.373438	-0.0446397	0.438152	-0.543976	2.30601	2.96007	-2.95051	-0.0546938
6933020067422529536	-0.313886	-0.35651	-0.0467443	0.487949	-0.602541	2.3055	2.95986	-2.95021	-0.0514009
6933020060989283328	-0.312236	-0.357259	-0.0541254	0.488513	-0.604415	2.3049	2.95985	-2.95028	-0.0558725
6933020054556036096	-0.313774	-0.356875	-0.0460406	0.488352	-0.604806	2.3059	2.95971	-2.95017	-0.0497199
6933020048122790912	-0.311985	-0.357492	-0.0543428	0.488239	-0.604154	2.30527	2.95987	-2.95026	-0.0541012
6933020041689544704	-0.314096	-0.357613	-0.0464898	0.48802	-0.604603	2.3055	2.95971	-2.95034	-0.048984
6933020035256298496	-0.311946	-0.357231	-0.0542446	0.488371	-0.604409	2.30546	2.95975	-2.95028	-0.0564054
6933020028823053312	-0.312759	-0.356779	-0.0503624	0.488187	-0.603154	2.30536	2.95983	-2.95046	-0.0496361
6933020022389806080	-0.314485	-0.357677	-0.0464432	0.488513	-0.60452	2.30547	2.95969	-2.95022	-0.0472756
6933020015956559872	-0.312365	-0.357416	-0.0539419	0.488661	-0.604392	2.3052	2.95961	-2.95025	-0.0533026
6933020009523314688	-0.315621	-0.385727	-0.0472225	0.40341	-0.499708	2.30573	2.9601	-2.95066	-0.0206058
6933020003090068480	-0.31208	-0.357239	-0.0544249	0.488165	-0.604434	2.30555	2.95995	-2.95017	-0.0613471
6933019996656823296	-0.313651	-0.358025	-0.0508374	0.488345	-0.604378	2.30547	2.96026	-2.95038	-0.0708039
6933019990223576064	-0.314807	-0.357648	-0.0463433	0.488192	-0.604383	2.30565	2.95971	-2.95033	-0.0474479
6933019983790329856	-0.312226	-0.357557	-0.0543541	0.488052	-0.604038	2.30548	2.95965	-2.95038	-0.0540819
6933019977357084672	-0.31289	-0.358579	-0.0517262	0.488458	-0.604468	2.30555	2.9597	-2.95033	-0.0310593
6933019970923838464	-0.313978	-0.357365	-0.0461791	0.488473	-0.604805	2.30579	2.95968	-2.95033	-0.0469536
6933019964490592256	-0.311866	-0.35708	-0.0542462	0.488139	-0.604165	2.30556	2.95946	-2.95042	-0.0520386
6933019958057346048	-0.314695	-0.357045	-0.046324	0.488186	-0.604618	2.30564	2.95991	-2.95036	-0.047435
6933019951624099840	-0.312194	-0.357338	-0.0542236	0.488067	-0.604165	2.30565	2.95966	-2.9504	-0.0531238
6933019945190853632	-0.312125	-0.358903	-0.0527986	0.488426	-0.604439	2.30577	2.95959	-2.95069	-0.0551463
6933019938757607424	-0.312537	-0.357064	-0.0541061	0.487894	-0.604473	2.30547	2.95956	-2.95012	-0.0540384
6933019932324361216	-0.313455	-0.369892	-0.0523864	0.451505	-0.559523	2.30551	2.95993	-2.95053	-0.0656255
6933019925891115008	-0.312551	-0.357586	-0.0544781	0.487991	-0.604299	2.30499	2.95977	-2.95021	-0.0536858
6933019919457869824	-0.314558	-0.357085	-0.0461678	0.488363	-0.604766	2.30543	2.9597	-2.95024	-0.0461082
6933019913024622592	-0.312379	-0.357576	-0.0541641	0.488605	-0.604434	2.30553	2.95964	-2.95038	-0.0641763
6933019906591377408	-0.313948	-0.35759	-0.0479519	0.488474	-0.60457	2.30542	2.95995	-2.9504	-0.0486298
6933019900158132224	-0.313606	-0.377567	-0.0518615	0.426697	-0.529739	2.30612	2.95976	-2.95066	-0.0392938
