measurement_time	3D_X	3D_Z	2D_Y2	2D_Y1	2D_X1	2D_X2
6929876908295952384	-0.413359	-0.0981171	-0.163244	-0.0961975	-0.210049	-0.0979949
6929876914759278592	-0.41643	-0.098085	-0.164251	-0.0964901	-0.212853	-0.096712
6929876921222604800	-0.415742	-0.0981107	-0.164135	-0.0966219	-0.212287	-0.0955126
6929876927690228736	-0.415954	-0.0975544	-0.164363	-0.0963808	-0.212486	-0.0958277
6929876934153552896	-0.41643	-0.0980078	-0.164122	-0.096876	-0.211438	-0.0959853
6929876940616879104	-0.416318	-0.0979499	-0.164109	-0.096757	-0.211252	-0.0964193
6929876947080206336	-0.415977	-0.0967923	-0.164087	-0.0965673	-0.211904	-0.0963583
6929876953543532544	-0.416048	-0.0982361	-0.163685	-0.0961139	-0.214647	-0.0964708
6929876960006858752	-0.415932	-0.0982522	-0.164472	-0.0958663	-0.215602	-0.0974322
6929876966470185984	-0.41243	-0.0979982	-0.164652	-0.0956605	-0.210306	-0.0966573
6929876972933511168	-0.41234	-0.098056	-0.165209	-0.0964644	-0.209998	-0.0961396
6929876979396837376	-0.413076	-0.0974772	-0.164074	-0.0970785	-0.210538	-0.0963904
6929876985860163584	-0.412996	-0.0979692	-0.155604	-0.0967409	-0.207969	-0.0974001
6929876992323488768	-0.413006	-0.0975319	-0.15627	-0.0960624	-0.208689	-0.096519
6929876998786816000	-0.413716	-0.0965415	-0.156125	-0.0962907	-0.210808	-0.096519
6929877005250140160	-0.412572	-0.0958631	-0.157874	-0.09349	-0.208943	-0.0936251
6929877011713467392	-0.415375	-0.098204	-0.16462	-0.0955576	-0.214155	-0.0969274
6929877018176792576	-0.41379	-0.0981879	-0.164189	-0.0962361	-0.211258	-0.0964161
6929877024640118784	-0.412726	-0.0976412	-0.164366	-0.0973261	-0.210728	-0.0961203
6929877031103446016	-0.413803	-0.0976734	-0.156276	-0.0965994	-0.208216	-0.0965094
6929877037566771200	-0.412819	-0.0978213	-0.155861	-0.0972522	-0.207332	-0.0963197
6929877044030098432	-0.413266	-0.0982136	-0.155829	-0.0959531	-0.209004	-0.0970882
6929877050493423616	-0.416607	-0.096728	-0.157903	-0.0968245	-0.210634	-0.0972136
6929877056956749824	-0.416549	-0.0982297	-0.164228	-0.0966251	-0.213425	-0.0962618
6929877063420075008	-0.412623	-0.097831	-0.163585	-0.0965287	-0.2102	-0.096757
6929877069883402240	-0.412993	-0.0977474	-0.156691	-0.095966	-0.207248	-0.09613
6929877076346726400	-0.414674	-0.0972232	-0.155643	-0.0960013	-0.210975	-0.0956766
6929877082810053632	-0.412395	-0.0992361	-0.155485	-0.0959756	-0.208644	-0.0973197
6929877089273379840	-0.41489	-0.0984901	-0.161382	-0.0962521	-0.211695	-0.0971621
6929877095736706048	-0.416041	-0.0966605	-0.16309	-0.0961139	-0.212001	-0.0967409
6929877102200031232	-0.416379	-0.0971911	-0.163759	-0.0968374	-0.214458	-0.096355
6929877108671953920	-0.40443	-0.0883291	-0.141993	-0.0853451	-0.199428	-0.0852358
6929877115143873536	-0.414321	-0.0986863	-0.164485	-0.0963615	-0.213059	-0.0980046
