measurement_time	3D_X	3D_Z	2D_Y2	2D_Y1	2D_X1	2D_X2
6931033032122128384	-0.404919	-2.00771	-0.119732	-0.0898661	-2.74886	-7.14748
6931033025650207744	-0.385452	-1.98827	-0.107896	-0.0715345	-2.73169	-7.127
6931033019178286080	-0.377941	-1.97772	-0.100198	-0.0615986	-2.72237	-7.11686
6931033012714959872	-0.391034	-1.99309	-0.12086	-0.0765121	-2.73769	-7.13232
6931033006251633664	-0.405645	-2.0073	-0.119166	-0.0900848	-2.7472	-7.14633
6931032999779714048	-0.405899	-2.00753	-0.118851	-0.0899658	-2.74936	-7.14708
6931032993316387840	-0.38232	-1.98202	-0.102477	-0.0664379	-2.72739	-7.12141
6931032986848763904	-0.381179	-1.98241	-0.10851	-0.0666341	-2.72897	-7.12196
6931032980376843264	-0.398738	-2.0066	-0.131829	-0.0896218	-2.74887	-7.1467
6931032973904921600	-0.405813	-2.00736	-0.119417	-0.090535	-2.74933	-7.14631
6931032967433000960	-0.396517	-2.00076	-0.116478	-0.0831457	-2.73802	-7.13923
6931032960969674752	-0.378452	-1.97812	-0.0991686	-0.0616918	-2.72062	-7.11824
6931032954506348544	-0.388577	-1.98934	-0.116809	-0.0726921	-2.73537	-7.12876
6931032948043023360	-0.39997	-2.00739	-0.134989	-0.0901427	-2.74716	-7.14597
6931032941579697152	-0.405025	-2.00649	-0.119822	-0.0904835	-2.74605	-7.14605
6931032935116370944	-0.391838	-1.99592	-0.115761	-0.0785122	-2.73802	-7.13517
6931032928644449280	-0.379426	-1.97847	-0.101622	-0.0614957	-2.72215	-7.11717
6931032922181123072	-0.391079	-1.99375	-0.121221	-0.0771906	-2.73831	-7.13216
6931032915717796864	-0.398587	-2.0076	-0.131777	-0.0897343	-2.74652	-7.14626
6931032909245877248	-0.404565	-2.00782	-0.116021	-0.08885	-2.74318	-7.14651
6931032902782551040	-0.386542	-1.98944	-0.115671	-0.0726824	-2.73205	-7.12845
6931032896310629376	-0.377256	-1.97664	-0.0982779	-0.0611581	-2.72271	-7.1173
6931032889847303168	-0.392812	-1.99836	-0.118886	-0.0829464	-2.74526	-7.14
6931032883383977984	-0.398729	-2.00698	-0.132021	-0.0902938	-2.74789	-7.14643
6931032876920651776	-0.404231	-2.00732	-0.114716	-0.0902552	-2.74701	-7.14646
6931032870457325568	-0.378645	-1.97844	-0.103902	-0.061515	-2.72371	-7.1167
6931032863993999360	-0.384654	-1.98603	-0.108416	-0.0713062	-2.73181	-7.12455
6931032857526376448	-0.4008	-2.00764	-0.134292	-0.0891266	-2.74687	-7.14651
6931032851063050240	-0.404137	-2.00782	-0.115085	-0.0896057	-2.7462	-7.1476
6931032844599723008	-0.383372	-1.98435	-0.103815	-0.0672772	-2.72369	-7.12339
6931032838136396800	-0.381291	-1.97913	-0.10249	-0.0643671	-2.7252	-7.11911
6931032831673071616	-0.398986	-2.00727	-0.129404	-0.0899079	-2.74948	-7.14659
6931032825201149952	-0.405067	-2.00643	-0.11987	-0.089043	-2.74571	-7.14684
6931032818737824768	-0.393185	-1.99674	-0.119079	-0.078763	-2.73869	-7.13442
6931032812274498560	-0.372111	-1.97056	-0.0864513	-0.0546274	-2.71416	-7.11114
6931032805802576896	-0.395086	-2.00088	-0.124449	-0.0850364	-2.74647	-7.14007
