measurement_time	3D_X	3D_Z	2D_Y2	2D_Y1	2D_X1	2D_X2
6930348066781457408	0.276117	4.97355	0.0110109	-5.03423	-0.638513	-2.34663
6930348073244783616	0.275512	4.9745	0.0114321	-5.03398	-0.639519	-2.34863
6930348079716704256	0.274631	4.97522	0.0115028	-5.03424	-0.640481	-2.34853
6930348086180030464	0.27429	4.97487	0.0121556	-5.03449	-0.638384	-2.34804
6930348092643356672	0.277374	4.97364	0.0167473	-5.03502	-0.636101	-2.34757
6930348099106680832	0.278136	4.97324	0.019667	-5.03397	-0.635718	-2.34852
6930348105570008064	0.275409	4.97387	0.0193037	-5.03425	-0.637567	-2.34785
6930348112033334272	0.274618	4.97455	0.0106539	-5.03374	-0.637059	-2.34748
6930348118496660480	0.274139	4.9748	0.012207	-5.03419	-0.639471	-2.34878
6930348124968582144	0.275477	4.97449	0.0117086	-5.03477	-0.642458	-2.34781
6930348131440502784	0.276451	4.97461	0.015384	-5.03517	-0.638416	-2.34795
6930348137903827968	0.275294	4.97588	0.0107633	-5.03353	-0.637516	-2.34759
6930348144367155200	0.274397	4.97436	0.0128759	-5.03475	-0.63903	-2.34844
6930348150839076864	0.277905	4.97388	0.0165094	-5.03387	-0.635406	-2.34768
6930348157302402048	0.275159	4.97486	0.0112713	-5.03476	-0.638667	-2.34786
6930348163765728256	0.274821	4.97482	0.0102842	-5.03358	-0.638876	-2.34807
6930348170229053440	0.277532	4.97477	0.0143904	-5.0333	-0.637291	-2.34921
6930348176692379648	0.275126	4.97392	0.01913	-5.03476	-0.636908	-2.34844
6930348183164301312	0.275535	4.97376	0.0116057	-5.03512	-0.637857	-2.3477
6930348189627627520	0.274422	4.97502	0.0201493	-5.03478	-0.638136	-2.34818
6930348196090953728	0.27439	4.97449	0.0197763	-5.03468	-0.636416	-2.34807
6930348202562874368	0.273622	4.97529	0.0117858	-5.03475	-0.641326	-2.34811
6930348209030498304	0.278538	4.97421	0.0126958	-5.03501	-0.63721	-2.34685
6930348215493825536	0.275451	4.97394	0.0114482	-5.0341	-0.642374	-2.34773
6930348221957150720	0.275213	4.97438	0.0112713	-5.03497	-0.639368	-2.34765
6930348228420478976	0.278361	4.97495	0.0198857	-5.03604	-0.635972	-2.34811
6930348234883802112	0.278596	4.97456	0.020069	-5.03443	-0.638503	-2.34804
6930348241347128320	0.275937	4.97474	0.01913	-5.0349	-0.63659	-2.34853
6930348247810454528	0.274959	4.97455	0.014683	-5.03448	-0.636361	-2.3486
6930348254282375168	0.278545	4.97307	0.011818	-5.03424	-0.639217	-2.34861
6930348260745700352	0.274831	4.97381	0.0121459	-5.03538	-0.639271	-2.34747
6930348267217622016	0.275319	4.97306	0.0112102	-5.0345	-0.639873	-2.34746
6930348273689542656	0.274866	4.97467	0.0114739	-5.03396	-0.638005	-2.34858
6930348280161466368	0.278721	4.97435	0.0137376	-5.03496	-0.63768	-2.34796
6930348286633384960	0.274847	4.97424	0.0189114	-5.03464	-0.638294	-2.34773
6930348293105305600	0.277281	4.97552	0.019757	-5.03522	-0.636455	-2.34919
